file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111101_www.express.gr_6648058818bdb924afb68d540f362451eec0e42a8d47455b17b6ca3e	65.66	89.73	51.78	0.00	0.00	0.00	262	30	244	0	6	0
20111103_www.express.gr_00432316609d53b9b165a50c0f43ba303c9d4babab967870dac4c878	72.11	90.26	60.03	0.00	0.00	0.00	380	41	253	0	9	0
20111103_www.express.gr_b790b5da5f6a30c85f59855f847023204bb8b8f289a2c430be3f8e10	73.79	92.76	61.27	0.00	0.00	0.00	397	31	251	0	6	0
20111103_www.express.gr_c61012b55d72b56911132fdce606fca3b88af9af03cbfd839df60fcf	80.94	93.37	71.43	0.00	0.00	0.00	620	44	248	0	10	0
20111104_www.express.gr_374193c3be99145c215b4474444c811d3f83b20ab84040d701ee7a21	78.17	93.60	67.10	0.00	0.00	0.00	512	35	251	0	7	0
20111104_www.express.gr_42e0b60d0d424eb58535a9932e2c03999ea754f508248e913b735615	74.56	91.89	62.72	0.00	0.00	0.00	419	37	249	0	7	0
20111107_www.express.gr_20a584d29d10a3c203d5ca471a3c184d30d7b1a4e58779e002e0cbfc	79.73	92.65	69.96	0.00	0.00	0.00	580	46	249	0	11	0
20111107_www.express.gr_231d2664a4db5da65d0642392c1ff687d86544c4b9050f9111e91e63	71.30	90.10	59.00	0.00	0.00	0.00	364	40	253	0	9	0
20111107_www.express.gr_a22334a5897264c602d403563a377b23fe209d1eaa1e49c06510ca16	62.48	86.99	48.75	0.00	0.00	0.00	234	35	246	0	8	0
20111107_www.express.gr_dfc1885e3264b533a48748b5e2154a32e563195109ed7424a5340ac1	74.38	92.07	62.39	0.00	0.00	0.00	418	36	252	0	8	0
20111108_www.express.gr_05963c5c8f8e6c81583d2f0d1516236a680d1f2bcf814a5e9c3cd66e	70.48	90.55	57.69	0.00	0.00	0.00	345	36	253	0	7	0
20111108_www.express.gr_8d87eac6228b913fedfc02679a661fc6e5549935017c9961eb77e303	70.26	91.06	57.19	0.00	0.00	0.00	326	32	244	0	6	0
20111108_www.express.gr_95662e961b75586f8d3cbf40783417e579e5f8568ff39355feb442a0	73.80	92.17	61.54	0.00	0.00	0.00	400	34	250	0	8	0
20111108_www.express.gr_f55f99a0ba28eafd617327ce280104e26403c489240a5b6a8f695838	54.66	83.74	40.57	0.00	0.00	0.00	170	33	249	0	6	0
20111109_www.express.gr_060b6fabbaed834d9aab87a2e99f17ff7fd02bcd00ec63d6932533b7	77.20	89.83	67.69	0.00	0.00	0.00	530	60	253	0	15	0
20111109_www.express.gr_2376175721162e688c97059cfb03f2837079f90a08aa9f6367da76cf	69.46	89.97	56.57	0.00	0.00	0.00	323	36	248	0	7	0
20111109_www.express.gr_6066839f4292469965d02e2879526a4fed12f6a8c4e1ba5ecc111893	72.66	89.91	60.96	0.00	0.00	0.00	392	44	251	0	9	0
20111109_www.express.gr_a5406a8d760df5c8f1ca77c7e5671bd70adc898b907cef3fa9d6894f	69.44	90.31	56.41	0.00	0.00	0.00	317	34	245	0	8	0
20111110_www.express.gr_004288b23e8124db70326e1ab7a0a03f5d153453798f7598c3c548b9	67.59	89.63	54.24	0.00	0.00	0.00	294	34	248	0	7	0
20111110_www.express.gr_0c53167360f973c556ac16cb24a5889800377524260e1fb79ff8a842	72.12	90.69	59.87	0.00	0.00	0.00	370	38	248	0	8	0
20111110_www.express.gr_524763985528fc595aa2eb584bd3a46f398b40073458ef6c521430bf	78.82	90.40	69.87	0.00	0.00	0.00	603	64	260	0	15	0
20111110_www.express.gr_6731493104b964ea9ee16b34b11871b08ddca1452726df3e47a44c93	72.80	90.87	60.72	0.00	0.00	0.00	388	39	251	0	8	0
20111110_www.express.gr_fc9eda2e0ff459066717f3a54e84e0562bbbabbd8c77424f5111d1b6	75.24	92.27	63.52	0.00	0.00	0.00	430	36	247	0	8	0
20111111_www.express.gr_256f9080fd01b4846351b84bb4129eff8bcca307d9deddbf786948bd	66.26	89.84	52.49	0.00	0.00	0.00	274	31	248	0	6	0
20111111_www.express.gr_5d294cfc699d671a0633d111cc97695081f6aba0650e82835d755410	78.29	93.45	67.37	0.00	0.00	0.00	514	36	249	0	8	0
20111111_www.express.gr_9477f83c4114b83ec491f8dd605341de29bb64cb0e5b56efa78e03e8	73.10	93.58	59.97	0.00	0.00	0.00	379	26	253	0	5	0
20111114_www.express.gr_740104ca9f4f641cbe1fc581888fa6fc3152eccfe050e526c021bb92	75.81	91.10	64.91	0.00	0.00	0.00	481	47	260	0	12	0
20111115_www.express.gr_56539caf20c6ff25edba98bb2a51a03dde06ae052798c5f91cb88e4c	74.05	89.79	63.01	0.00	0.00	0.00	431	49	253	0	11	0
20111115_www.express.gr_60c020d5a20cd32bc666c3802c29f4bf9f1ab818cbeca961cbfc3df3	74.53	91.59	62.82	0.00	0.00	0.00	414	38	245	0	8	0
20111115_www.express.gr_acb32363b90ee8aed08fb756afea5c8f035162a21dbf9c4d89156667	74.19	90.99	62.63	0.00	0.00	0.00	424	42	253	0	9	0
20111116_www.express.gr_1db2023edf82f75860f86aaae5f4f7cd09cda3ce998e53aab61cef0b	80.62	93.53	70.84	0.00	0.00	0.00	622	43	256	0	12	0
20111116_www.express.gr_4aeefed514143ae7a94e00147e1b959c35ab893fe801b4d480ece28b	69.76	90.44	56.78	0.00	0.00	0.00	331	35	252	0	7	0
20111117_www.express.gr_3a7503f984e19276fafaee944f124abc40f5019f6d714fe776d3e51c	69.28	89.59	56.48	0.00	0.00	0.00	353	41	272	0	14	0
20111117_www.express.gr_d2562f3c6adb36b590741e0ab5f74e301958cba3810017779b579008	67.44	89.51	54.10	0.00	0.00	0.00	290	34	246	0	7	0
20111118_www.express.gr_b1d00a3c56c49cd86bcf9653724333eb6a71e93b6da21e030198d6c0	74.32	90.23	63.17	0.00	0.00	0.00	434	47	253	0	11	0
20111118_www.express.gr_f226bbc41a07c1a1f6e320e7fe083986f5535a367c8d18b006d92de8	74.60	85.81	65.97	0.00	0.00	0.00	508	84	262	0	17	0
20111121_goodcontents.net_3bac60d11082c79c3c7691a22cf2e087f817faeb28420816ed7ef701	60.05	88.02	45.57	0.00	0.00	0.00	360	49	430	0	11	0
20111121_goodcontents.net_6e8a193b0d5e43883d5bcacdf49357313921e88663e9e4a66cc6eafc	56.37	93.28	40.39	0.00	0.00	0.00	458	33	676	0	6	0
20111121_goodcontents.net_b620d443a4b5995eb339983e23c9b580085a5aac56bb25a65703c7c1	66.67	91.65	52.39	0.00	0.00	0.00	406	37	369	0	7	0
20111121_goodcontents.net_d3d973b9ef61722241c1895ccf3226ee946d67ce816ac725955be986	69.64	93.40	55.51	0.00	0.00	0.00	594	42	476	0	10	0
20111121_goodcontents.net_daca031b3afb62aa1c5ae330893841cfd517220dc0be08ce017e26d7	63.69	91.05	48.97	0.00	0.00	0.00	356	35	371	0	7	0
20111121_goodcontents.net_f164d2c180e17a39cfffdc428541f182be5cea501e3b1135c9bb2c8c	55.78	92.58	39.91	0.00	0.00	0.00	449	36	676	0	8	0
20111121_www.biolog.pl_2ade212bc82e82a76476f5f29a512c058df6dc2e0b8ade7a83bc03b4	1.47	0.90	3.98	0.00	0.00	0.00	7	770	169	0	11	0
20111121_www.biolog.pl_6b358bbb56369b90368dd7020da2befdf64d1f5b30db7072c9427ece	1.82	1.52	2.27	0.00	0.00	0.00	4	259	172	0	6	0
20111121_www.biolog.pl_82cc54429b030e7848ea1e82dc4ad2466bb65b95e06564404e9e045a	1.27	0.82	2.84	0.00	0.00	0.00	5	606	171	0	17	0
20111121_www.biolog.pl_8b000f2ac350c280a189edadad368f1037ca3bb84684617169290369	3.33	2.63	4.55	0.00	0.00	0.00	8	296	168	0	8	0
20111121_www.biolog.pl_9980d6f12306d6298998081e86bb04eda8871ee02475d66069bc48bc	2.50	1.82	3.98	0.00	0.00	0.00	7	377	169	0	11	0
20111121_www.biolog.pl_ad43bdfd510235776032186fb8f9bb28045ad3cd3a2bd8e2013a4bf2	0.53	0.34	1.14	0.00	0.00	0.00	2	579	174	0	11	0
20111121_www.biolog.pl_df35442bc753c25dd6c3d261cac577b2e83b5f6405dfa1fbc7b3711d	1.05	0.65	2.84	0.00	0.00	0.00	5	768	171	0	17	0
20111121_www.biolog.pl_f1377bd36757954a1c0131ef035e6f950fe847f3ecad66d464d747fd	2.16	1.42	4.55	0.00	0.00	0.00	8	556	168	0	11	0
20111121_www.express.gr_f9655722c07bbf29cfdfdc1beca6c36af03ae03d33da430619e3b424	75.26	92.75	63.32	0.00	0.00	0.00	435	34	252	0	8	0
20111121_www.iatronet.gr_11e7c9247847c4ca6cac234581ccc0a1d9354771f71007a6833d1809	23.44	71.68	14.01	0.00	0.00	0.00	81	32	497	0	4	0
20111121_www.iatronet.gr_16d04a37f13324063457daea2fc695ead465f0dd6605592a5ef17641	33.08	79.39	20.89	0.00	0.00	0.00	131	34	496	0	5	0
20111121_www.iatronet.gr_1e45294e20e07993b6b33b773291e7fc2d76291f5a19ae006e025eec	42.14	83.40	28.19	0.00	0.00	0.00	201	40	512	0	6	0
20111121_www.iatronet.gr_1fc0945fcab2f223b2083b7575e9f57911d789229b6228f60f3309d0	33.87	76.84	21.73	0.00	0.00	0.00	136	41	490	0	6	0
